TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Paraiška. **Studentų vasaros praktika**,"Studentų vasaros praktika.

Lietuvos mokslo taryba **yra pradėjusi studentų vasaros praktikos konkursą**, kuris vyks 3 etapais.

Pasibaigus konkurso I etapo studentų vasaros praktikos temų atrankai, **paskelbtas kvietimas** **šio konkurso** **II etapui** – **studentų paraiškų teikimui.** Dalyvauti konkurse kviečiami studentai.

**Studentų vasaros praktikos** – vasaros atostogų metu studento pagal individualią programą atliekamas tiriamasis darbas, vadovaujant praktikos vadovui. **Praktika atliekama** studentų vasaros atostogų metu, t. y., **2025 m. liepos–rugpjūčio mėn. Studentas** vasaros metu **negali turėti jokių kitų darbo santykių** su vykdančiąja institucija, išskyrus darbo santykius dėl pačios vasaros praktikos atlikimo.

Į vasaros praktikos vietą **gali pretenduoti** **Lietuvos ar užsienio aukštosios mokyklos studentas.** Prašymus į studentų vasaros praktikos vietas gali teikti **pirmos (bakalauro) pakopos, antros (magistro) pakopos ir vientisųjų studijų studentai, išskyrus:** 1) paskutinę kvietime nurodyto paraiškų pateikimo termino dieną yra paskutiniųjų kursų studentai, 2) gavusius finansavimą šiai programai 2022 m. ar vėlesniais metais, 3) doktorantus arba jau įgijusius daktaro laipsnį. Studento paskutinio semestro visų studijuotų dalykų įvertinimų **svertinis vidurkis turi būti lygus 8,0 arba didesnis**. Tais atvejais, **kai į vasaros praktikos vietą pretenduoja studentas iš užsienio mokslo ir studijų institucijos,** paskutinio semestro visų studijuotų dalykų įvertinimų **svertinis vidurkis turi atitikti bent 80 proc.** maksimalaus toje užsienio mokslo ir studijų institucijoje taikomo įverčių svertinio vidurkio.

Praktikos vietos finansavimo suma: **4000 Eur** arba **4900 Eur** (jeigu studentas vykdys vasaros praktiką atvykęs iš užsienio mokslo ir studijų institucijos arba jeigu studentas studijas vykdo kitoje Lietuvos mokslo ir studijų institucijoje, esančioje kitame mieste negu numatoma vasaros praktikos vieta vykdančiojoje institucijoje).

**Studentų paraiškų pateikimo terminas -** iki 2025-05-08 16 val. **Studentas** Lietuvos mokslo tarybos paraiškų ir ataskaitų teikimo elektroninėje **sistemoje** adresu [Lmtpais: išorinis portalas](https://projektai.lmt.lt/#login) **turi pateikti ne daugiau kaip du prašymus į vasaros praktikos vietas kartu su šiais dokumentais**: gyvenimo aprašymu, pažyma apie studijų rezultatus ([pažymų apie studijų rezultatus formos lietuvių ir anglų kalbomis](https://lmt.lrv.lt/public/canonical/1738044406/4024/SVP%20Apra%C5%A1o%204%20priedas.pdf)) ir motyvaciniu laišku. Lietuvos mokslo tarybos parengtą studentų vasaros praktikos **temų pasirinkimo** **pildymo instrukciją lietuvių kalba rasite** [**čia >>>**](https://lmt.lrv.lt/public/canonical/1744108076/4481/2Pildymo%20instrukcija%20SV%20studentams.pdf)**, o anglų kalba rasite** [**čia >>>**](https://lmt.lrv.lt/public/canonical/1744108090/4482/2EN%20Pildymo%20instrukcija%20SV%20studentams.pdf)**.**

**Studentų atranka į praktikos vietas vyks tokiais etapais:**

1. Studentų prašymų administracinė patikra bus atliekama pagal [studento atitikties konkurso reikalavimams patikros pažymą](https://lmt.lrv.lt/public/canonical/1737973808/4019/SVP%20Apra%C5%A1o%205%20priedas%20(studento%20atikit.%20AP).pdf).
2. Praktikos vadovai bus informuojami apie studentus, atitikusius administracinės patikros reikalavimus.
3. Praktikos vadovai vertins kiekvieną studentą, pretendavusį į jų pasiūlytas temas ir atitikusį administracinės patikros reikalavimus, pagal [studento tinkamumo vasaros praktikos temai vertinimo anketą](https://lmt.lrv.lt/public/canonical/1737973837/4020/SVP%20Apra%C5%A1o%206%20priedas.pdf), vadovaudamiesi skaidrumo, nešališkumo ir sąžiningumo principais, atsižvelgdami į pretenduojančio studento motyvaciją, pasiekimus, ir užtikrindami, jog praktikai nebus pasirinkti su jais santuokos, giminystės ar svainystės ryšiais susiję studentai.

Lietuvos mokslo tarybos **paskelbtą kvietimą** **II etapui** rasite [čia >>>](https://lmt.lrv.lt/lt/kvietimai/kvietimas-teikti-paraiskas-studentu-vasaros-praktikai-ii-etapas/), o **Studentų vasaros praktikos finansavimo sąlygų aprašą ir kitus dokumentus** rasite dalyje „Informacija pareiškėjams ir projekto vykdytojams“ [čia >>>](https://lmt.lrv.lt/lt/veiklos-sritys/mokslo-finansavimas/karjeros-mobilumo-sklaidai-skatinimo-priemones/studentu-tyrimai-vasaros-metu/).

**Išsamesnę informaciją Plėtros departamente teikia šie darbuotojai:**

Dalia Papievienė, tel. [(+370 5) 236 6034](mailto:(+370%205)%20236%206034), el. p. [dalia.papieviene@cr.vu.lt](mailto:dalia.papieviene@cr.vu.lt) (konsultuojami padaliniai: CHGF, EVAF, FSF, MF, TF)",,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"
Veiksmai:

**1)**     Konkurso I etapas. Praktikos vadovas iki 2025-02-28 d. tinklalapyje ([https://projektai.lmt.lt/#login](https://projektai.lmt.lt/#login)) pateikia 1 studentų vasaros praktikos temos pasiūlymą.

LMT patvirtino  2025 m. studentų vasaros praktikos temą (P-SV3-25-612): „Multimodalinės mikroskopijos duomenų panaudojimas mašininiam mokymui apjungiant optinės, poliarizacinės ir fluorescencinės mikroskopijos duomenis“ (From: [ilona.monstaviciene@lmt.lt)](mailto:ilona.monstaviciene@lmt.lt))

**2)**     Studentų paraiškų pateikimo terminas - iki 2025-05-08 16 val. Studentas  adresu [https://projektai.lmt.lt/#login](https://projektai.lmt.lt/#login) turi pateikti ne daugiau kaip du prašymus į vasaros praktikos vietas kartu su šiais dokumentais: gyvenimo aprašymu, pažyma apie studijų rezultatus ([pažymų apie studijų rezultatus formos lietuvių ir anglų kalbomis](https://lmt.lrv.lt/public/canonical/1738044406/4024/SVP%20Apra%C5%A1o%204%20priedas.pdf)) ir motyvaciniu laišku.

Edgaras Zaboras paraišką LMT vasaros praktikai sėkmingai pateikė. Jos būsena - „Vertinama“.",,,,,Danutė (43831156),,2025-05-12T08:41:43.465000Z,,,,,,
note,5 stiprus kandidatai - 2 uzsienieciai.,,,,,Arvydas (43613934),,2025-05-28T06:58:40.743000Z,,,,,,
note,Vykstaš Del Hirali nuotolinio dalyvavimo preliminariai suderinta su LMT. Laukiam.,,,,,Arvydas (43613934),,2025-07-30T06:29:31.195000Z,,,,,,
task,**Kvietimas. Dėl lėšų paskelbti mokslinius straipsnius kompensavimo. Mantui?**,[2025 m. kvietimas teikti paraiškas dėl lėšų paskelbti mokslinius straipsnius kompensavimo - Lietuvos mokslo taryba](https://lmt.lrv.lt/lt/kvietimai/2025-m-kvietimas-teikti-paraiskas-del-lesu-paskelbti-mokslinius-straipsnius-kompensavimo/),,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,Paraiška teikiama lietuvių kalba el. sistemoje adresu [https://junkis.lmt.lt](https://junkis.lmt.lt/)  **iki 2025 m. spalio 30 d**. **16 val.**,,,,,Danutė (43831156),,2025-09-23T07:30:57.834000Z,,,,,,
task,Kvietimas. Technologinės plėtros projektas,[Technologinės plėtros priemonės III-iasis kvietimas teikti paraiškas įgyvendinti projektus 2026-2027 m. - Lietuvos mokslo taryba](https://lmt.lrv.lt/lt/kvietimai/technologines-pletros-priemones-iii-iasis-kvietimas-teikti-paraiskas-igyvendinti-projektus-2026-2027-m/),,4,1,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"Buvom teikę paraišką pagal technologinės plėtros projektų kvietimą su UAB ""Corner Case Technologies"" (IT kompanija). Paskelbtas naujas kvietimas. Pateikimo terminas - iki 2025 m. lapkričio 7 d. 15 val. Didžiausia galima projektui skirti finansavimo lėšų suma ne daugiau kaip 150 tūkst. Eur.",,,,,Danutė (43831156),,2025-09-26T08:06:35.860000Z,,,,,,
note,gal synoptic report?,,,,,Arvydas (43613934),,2025-10-01T06:19:31.036000Z,,,,,,
note,"From: Allan Rasmusson
Hi, Danute. Apologies for a very late reply, but I don't think we will submit again.... or I should say: we got the opportunity for an Immunogradient prototype in the Hex4Path project, so I don't think it's relevant again. I cannot say if other projects would benefit from this call. /Allan",,,,,Danutė (43831156),,2025-10-07T10:11:30.734000Z,,,,,,
task,EMPAIA,"[What is EMPAIA? | EMPAIA Konsortium](https://www.empaia.org/en)

\filesrv\users\lauar\PROJECTS_2023_EMPAIA",,1,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
,,,,,,,,,,,,,,
section,TO REVIEW,,False,,,,,,,,,,,
